schedule ,time,Check,C_temp_target,F_temp_target,C_temp_read,tag_53,tag_98,tag_94,tag_68,tag_56,tag_57,tag_80,tag_59,tag_58,tag_60,,
0735,0,Erin,2.5,36.5,2.87,1,1,1,1,1,1,1,1,1,1,,
0805,30,Both,3.5,38.3,4.14,1,1,1,1,1,1,1,1,1,1,,
0835,60,Both,4.5,40.1,5.40,1,1,1,1,1,1,1,1,1,1,,
0905,90,Erin,5.5,41.9,5.52,1,1,1,1,1,1,1,1,1,1,,
0935,120,Shannon,6.5,43.7,7.30,1,1,1,1,1,1,1,1,1,1,,
1005,150,Erin,7.5,45.5,7.16,1,1,1,1,1,1,1,1,1,1,,
1035,180,Shannon,8.5,47.3,9.15,1,1,1,1,1,1,1,1,1,1,,
1105,210,Erin,9.5,49.1,10.19,1,1,1,1,1,1,1,1,1,1,,
1135,240,Shannon,10.5,50.9,11.16,1,1,1,1,1,1,1,1,1,1,,
1205,270,Erin,11.5,52.7,12.00,1,1,1,1,1,1,1,1,1,1,,
1235,300,Shannon,12.5,54.5,13.08,1,1,1,1,1,1,1,1,1,1,,
1305,330,Erin,13.5,56.3,13.90,1,1,1,1,1,1,1,1,1,1,,
1335,360,Shannon,14.5,58.1,14.96,1,1,1,1,1,1,1,1,1,1,,
1405,390,Erin,15.5,59.9,16.18,1,1,1,1,1,1,1,1,1,1,,
1435,420,Shannon,16.5,61.7,17.11,1,1,1,1,1,1,1,1,1,1,,
1505,450,Erin,17.5,63.5,18.03,1,1,1,1,1,1,1,1,1,1,,
1535,480,Shannon,18.5,65.3,18.79,1,1,1,1,1,1,1,1,1,1,,
1605,510,Erin,19.5,67.1,19.85,1,1,1,1,1,1,1,1,1,1,,
1635,540,Erin,20.5,68.9,20.57,1,1,1,1,1,1,1,1,1,1,,
1705,570,Erin,21.5,70.7,21.49,1,0,1,1,0,1,1,1,1,1,,
1735,600,Erin ,22.5,72.5,22.41,0,0,0,1,0,1,1,0,1,1,,
1805,630,Erin,23.5,74.3,23.03,0,0,0,1,0,0,1,0,1,1,,
1835,660,Erin,24.5,76.1,24.57,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
